Programme_ID,Programme_Name,Programme_Short_Description,Programme_Location,Programme_Access,Programme_Detailed_Description,Image,Page URL,Narratives_Programme_Is_Part_Of,Discipline_Programme_Is_Part_Of
277,Kuang-Yi Ku X Henry de Vries,,"Strijp-S area, Microlab Hall, Kastanjelaan 400",Free with DDW Ticket,,https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/1-studio-ku-atlas-of-queer-anatomy-dda23-design-research-credit-tzu-yen-chen_1689586563_1800x1010.jpg,https://ddw.nl/en/programme/10487/kuang-yi-ku-x-henry-de-vries,,
278,Lana,"Economics of Transition, means and Strategies for Resilient Systems","Strijp-S area, Klokgebouw | Hall 2, Klokgebouw 50",Free with DDW Ticket,"“Lana” experimentally investigates the possibilities of innovative use of pre-consumer wool waste for the bio-assembly of mycelium-based composites that can be used in architecture. The research include material prototypes, material and technology set-up, demonstrations of potential applications.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/lana-caterina-plenzick-wool-myzel-panels-small_1695211922_1800x1010.jpg,https://ddw.nl/en/programme/11004/lana,,
279,Laserglazed Lights,"A collection of porcelain lights showcasing the distinctive interplay between light, a computer-controlled laser and ceramic glazes.","Station area, Stationshal - Zuidhal - Eindhoven Centraal Station, Stationsplein 22",Free,"The innovative technique 'Laserglazing' has been developed through experimental research that combines computer-controlled lasers with ceramic glazes. This method utilizes the unique interaction between glazes and the heat of a laser, resulting in extraordinary finishes.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/laserglazed-lights-olivier-van-der-mark-sanne-kaal-ddw-web_1693931478_1800x1010.jpg,https://ddw.nl/en/programme/10564/laserglazed-lights,,
280,Learning innovation,Design that facilitates rich learning experiences,"Strijp-S area, Klokgebouw | Hall 1, Klokgebouw 50",Free with DDW Ticket,Studio Tast consists of a multidisciplinary design team with a passion for learning. Our designers create contemporary learning experiences. Every solution is unique. From physical tools to interactive apps and everything in between. This Dutch Design Week we present three new designs.,https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/642d30de2141ba72c2abf086-dsc05860-p-1600_1695392370_1800x1010.jpg,https://ddw.nl/en/programme/9945/learning-innovation,"[""EXHIBITIONS"", ""OUR EQUAL SOCIETY"", ""SPECULATIVE & SOCIAL DESIGN""]",Social Design
281,Lébayes,,"Centre area, Kazerne – Home of Design, Paradijslaan 2-8",Free with DDW Ticket or Entrance Fee,"Lébayes is a furniture collection and ongoing design concept that celebrates the interplay between creativity and tools. By harnes- sing the power of algorithms and computers, we embrace them as valuable collaborators in the creative process.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/72aead4a-36fd-421b-b5f7-cf0a9c63ff2f_1694490739_1800x1010.jpeg,https://ddw.nl/en/programme/11035/lebayes,"[""EXHIBITIONS"", ""OUR LIVING ENVIRONMENT"", ""SIGNATURE & COLLECTIBLE DESIGN""]",Interior Design
282,Lébayes,"Lébayes is a furniture collection that celebrates the interplay between creativity and tools, bilans and machines.","Centre area, Kazerne – Home of Design, Paradijslaan 2-8",Free with DDW Ticket or Entrance Fee,"Lébayes celebrates the interplay between creativity and tools. By harnessing the power of algorithms and computers, we embrace them as valuable collaborators in the creative process.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/3e3d3f75-ff22-4242-81d4-ee3f3f340bc8_1694490089_1800x1010.jpeg,https://ddw.nl/en/programme/10085/lebayes,"[""EXHIBITIONS"", ""OUR LIVING ENVIRONMENT"", ""SIGNATURE & COLLECTIBLE DESIGN""]",Interior Design
283,Lek full - Play Drunk,,"Station area, Design Perron, Fuutlaan 12",Free,"LEK FULL, PLAY DRUNK is a textile project exploring the intersection of hand painting and Jacquard weaving, aiming to design textiles for the purpose of fun. It drives from an interest of not taking design so seriously, letting it be playful and maybe slightly meaningless, in terms of functionality.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/klaramelin15mb_1693430648_1800x1010.jpg,https://ddw.nl/en/programme/10772/lek-full-play-drunk,,
284,Lichtspiel,Experiment Nr. 2 – Underworld,"Canal area, Koelhuis Eindhoven, Dirk Boutslaan 1",Free,"Zalán Szakács invites the audience to descend into the basement of Koelhuis Eindhoven for an embodied experience that sits between mysticism and technology. Lichtspiel interweaves narratives of the past and the present through an interplay between light, haze, and sound.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/lichtspiel-zalan-szakacs-afbeelinding-3_1693480037_1800x1010.jpg,https://ddw.nl/en/programme/10649/lichtspiel,"[""EXHIBITIONS"", ""OUR DIGITAL FUTURE"", ""INDEPENDENT & CRITICAL DESIGN""]",Art Design
285,Light makes you see colour,"Light creates colour, reflection and a sense of space. With the combination of craft & technique, the studio creates innovative lighting.","Canal area, NUL ZES / gebouw 8, GASFABRIEK 3C",Free,"During the DDW, the studio illuminates a former electricity house on the NRE terrain, with glass blown light installations. The studio designed and developed the shape of the light and the light element itself and are produced in the Netherlands.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/grid-pedant-light-pim-top-studio-thier-van-daalen-web_1693821526_1800x1010.jpg,https://ddw.nl/en/programme/10363/light-makes-you-see-colour,"[""EXHIBITIONS"", ""OUR HEALTH & WELLBEING"", ""PRODUCT & CRAFT DESIGN""]",Interior Design
286,Lightscapes,,"Woensel area, De GRRRAGE, De Greefstraat 6",Free,"Light, movement, and transformation form the foundation for a new series of extraordinary objects. Reflections and light effects play with our perception. During this Dutch Design Week, the theme of light takes on greater prominence than ever before.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/img-0395_1689069489_1800x1010.jpg,https://ddw.nl/en/programme/10457/lightscapes,"[""EXHIBITIONS"", ""OUR LIVING ENVIRONMENT"", ""SIGNATURE & COLLECTIBLE DESIGN""]",Interior Design
287,Lilian van Daal,,"Strijp-S area, Microlab Hall, Kastanjelaan 400",Free with DDW Ticket,"Product designer Lilian van Daal blends nature with design, using innovative technologies and materials in order to meticulously mimic nature. The emphasis is on the imitation and adjustment of structures to optimise products in a sustainable way.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/peltchair-lilian-van-daal-01a_1693549262_1800x1010.jpg,https://ddw.nl/en/programme/10720/lilian-van-daal,,
288,LIMINAL,,"Strijp-S area, VEEM floor 8, Torenallee 100",Free,"The collection showcases a liminal in-between world, transcending conventional definitions through the use of prints, shapes, and aesthetics. It made its debut at Amsterdam Fashion Week, where I emerged as a top 10 finalist at Lichting 2023.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/andrekonings-klein_1694267254_1800x1010.jpg,https://ddw.nl/en/programme/10998/liminal,,
289,Liminal Spaces,,"Strijp-S area, Klokgebouw | Hall 3, Klokgebouw 50",Free with DDW Ticket,"A group of MA students from Lund University School of Industrial Design explored the chimerical in design, while another explored sensor technology with industry partner Sigma Connectivity. Both groups found surprising overlaps, and both projects informed each other.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/ddw-application-image_1693428858_1800x1010.jpg,https://ddw.nl/en/programme/10352/liminal-spaces,"[""EXHIBITIONS"", ""INDEPENDENT & CRITICAL DESIGN"", ""EDUCATION""]",Industrial Design
290,Link the system,,"Strijp-S area, Klokgebouw | Hall 2, Klokgebouw 50",Free with DDW Ticket,"Link the system are interlocking building blocks made from geopolymers from broken bricks. The interlocking building blocks were intended to show, on a small scale, where potential opportunities for developing more sustainable designs of products and materials might lie on a larger scale.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/link-the-system-theresa-schwaiger-011_1694377524_1800x1010.jpg,https://ddw.nl/en/programme/11005/link-the-system,,
291,LINO UNDERCOVER,The Hidden Side of Linoleum,"Strijp T+R area, studio RENS, Halvemaanstraat 24",Free,"Linoleum is traditional yet perfectly contemporary: natural and sustainable, easy to maintain, and tough as nails. This DDW, the material breaks free from its well-known image and sheds its familiar reputation. With Lino Undercover, Tarkett and Studio RENS uncover the hidden facets of linoleum.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/tarkett-rens-lino-undercover-picture-rugcircle_1693394533_1800x1010.jpg,https://ddw.nl/en/programme/10284/lino-undercover,"[""EXHIBITIONS"", ""OUR THRIVING PLANET"", ""SIGNATURE & COLLECTIBLE DESIGN""]",Design Research
292,Little Big Futures,"A classroom interactive game to enable healthy debate, welcome difference of thought and bring to the table the world’s most pressing issues.","Centre area, Eindhoven Library, Emmasingel 22",Free,"An interactive board game using digitally fabricated tools that allows children from 12 years and above to map their perceptions and attitudes. The project was developed during the Master in Design for Emergent Futures (MDEF), a program offered by IAAC - Fab Lab Barcelona and Elisava.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/img-9272-3-min_1691407165_1800x1010.JPG,https://ddw.nl/en/programme/10399/little-big-futures,"[""EXHIBITIONS"", ""OUR EQUAL SOCIETY"", ""INDEPENDENT & CRITICAL DESIGN""]",Social Design
293,Living Coffin,Here to enrich nature.,"Strijp-S area, Microlab Hall, Kastanjelaan 400",,"The Living Coffin embodies living design in manufacturing, fostering biodiversity and nurturing the Earth. A testament to creating products that give back to nature, it's a model for a sustainable future.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/rsz-1tekengebied-1_1694531533_1800x1010.jpg,https://ddw.nl/en/programme/10124/living-coffin,"[""EXHIBITIONS"", ""OUR THRIVING PLANET""]",Bio Design
294,Living_in_the_Dome,"Discover the world of dome buildings, where sustainability, beauty and serenity come together.","Sectie-C area, Hall 14 - C, Daalakkersweg 14 -20",,"Domes have been a part of human history since ancient times. They occur in all cultures and in all times, usually built from local, natural materials. In recent years they have been gaining popularity thanks to their elegant geometric shapes and their specific qualities.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/kunegunda-duo-dome_1694212261_1800x1010.jpg,https://ddw.nl/en/programme/9765/living-in-the-dome,"[""EXHIBITIONS"", ""OUR HEALTH & WELLBEING"", ""SERVICE & INNOVATIVE DESIGN""]",Bio Design
295,Lord of the Flies,Protector of our garden and all the small creatures that live there.,"Station area, Stationshal - Zuidhal - Eindhoven Centraal Station, Stationsplein 22",Free,"Lord of the Flies, is the protector of the vegetable patch, an ode to gardening and friend of all insects and plant creatures. He takes care of enough rain in the garden, directs the ants and holds meetings with the worms to create harmony amongst the troops.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/90411a1f-7e0c-4403-ba7a-685162a2a6ac_1693824358_1800x1010.jpg,https://ddw.nl/en/programme/10924/lord-of-the-flies,,
296,Magic Millstone,A Folklore Reimagined: Imprints of Tradition in Digital Horizons,"Strijp-S area, Microlab Hall, Kastanjelaan 400",Free with DDW Ticket,"""Magic Millstone"" explores traditional Korean folktales merging Sun Lee's Hanji paper sculpture with spacekkabbi's digital artefacts. This immersive installation invites visitors to traverse the boundaries between tradition and virtual space while questioning the future of traditional crafts.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/magic-millstone-1_1693494452_1800x1010.jpg,https://ddw.nl/en/programme/10190/magic-millstone,"[""EXHIBITIONS"", ""OUR DIGITAL FUTURE"", ""SIGNATURE & COLLECTIBLE DESIGN""]",Installation Design
297,Mahjouba Motor,Electric mobility supporting local artisans through a distributed and socially situated production system.,"Strijp-S area, Microlab Hall, Kastanjelaan 400",Free with DDW Ticket,"Mahjouba Motor is an electric moped producer that supports the techniques, heritage, and relational working methods of Morocco's artisanat through a distributed production system for functional craft-made components.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/mahjouba-4-expandedaiedit_1695980751_1800x1010.jpg,https://ddw.nl/en/programme/9853/mahjouba-motor,"[""EXHIBITIONS"", ""OUR LIVING ENVIRONMENT"", ""SPECULATIVE & SOCIAL DESIGN""]",Art Design
298,MAINFRAME: Living Technology,"MAINFRAME is the heart to our heartless digital infrastructure, enabling these systems to better empathize with our collective emotional well-being.","Strijp-S area, Klokgebouw | Hall 3, Klokgebouw 50",Free with DDW Ticket,"Designed by Synthetic State, MAINFRAME is a next-generation processor powering emotive technologies, intending to bring life to our lifeless systems.

Integrated within an installation consisting of dynamic lighting, sound and movement, users can interact and connect emotionally.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/syntheticstatemainframe-1_1694965801_1800x1010.jpg,https://ddw.nl/en/programme/10438/mainframe-living-technology,"[""EXHIBITIONS"", ""OUR DIGITAL FUTURE"", ""SERVICE & INNOVATIVE DESIGN""]",Experience Design
299,Making - 15 years,Celebrating 15 years of making.,"Hallenweg area, Studio Jeroen Wand, Bayeuxlaan 7",Free,"This year Studio Jeroen Wand exists 15 years and shares this special moment with the DDW audience. At our studio we show our way of making in a retrospective of works. We reflect on our past designs, through adding new interpretations.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/schermafbeelding-2023-08-29-162552_1693320825_1800x1010.png,https://ddw.nl/en/programme/10043/making-15-years,"[""EXHIBITIONS"", ""OUR LIVING ENVIRONMENT"", ""PRODUCT & CRAFT DESIGN""]",Interior Design
300,Making it last,Mastering the renewal of clothes,"West area, PLAN-B, Hurksestraat 19",Free,"Experience textile renewal at The Wardrobe Flip. Witness fashion transform into sustainable resources. Our ""Sleeping Beauty"" collection revitalizes old duvets into vibrant wearables. Discover why fashion sustainability matters. Explore color-sorted discarded textiles revealing future possibilities.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/twf-mission_1693421461_1800x1010.jpg,https://ddw.nl/en/programme/10644/making-it-last,"[""EXHIBITIONS"", ""OUR THRIVING PLANET"", ""INDEPENDENT & CRITICAL DESIGN""]",Fashion Design
